,Ephys t-SNE x,Ephys t-SNE y,Morph t-SNE x,Moprh t-SNE y,Morphoelectric t-SNE x,Morphoelectric t-SNE y
20190613_sample_2,-3.7,15.01,-14.02,-16.11,-24.73,9.93
20190613_sample_3,1.03,16.66,-30.93,-11.41,-20.69,12.26
20190613_sample_4,-6.5,39.38,-19.21,-12.32,-11.6,11.81
20190613_sample_6,-36.4,-2.86,-34.14,8.98,-19.59,-12.78
20190613_sample_7,-3.2,14.8,-19.44,-16.1,-24.36,12.5
20190613_sample_8,-41.99,11.74,,,,
20190613_sample_9,-7.63,-8.54,-15.43,-14.6,-22.82,11.08
20190613_sample_10,1.06,14.81,,,,
20190614_sample_2,15.63,29.61,,,,
20190614_sample_3,9.11,-11.16,-11.19,13.97,-6.3,24.29
20190614_sample_4,13.62,12.27,,,,
20190614_sample_6,13.3,23.91,,,,
20190614_sample_8,10.37,12.79,-39.49,12.01,-10.57,-14.16
20190617_sample_1,-0.42,-16.44,-5.71,16.28,-8.7,28.58
20190617_sample_2,17.52,-10.5,,,,
20190617_sample_3,-27.89,10.56,,,,
20190617_sample_4,-10.77,7.63,-15.71,-13.5,-23.18,8.45
20190617_sample_5,3.95,22.01,-11.9,15.8,-13.05,20.17
20190617_sample_6,-17.75,9.29,,,,
20190618_sample_1,9.89,-17.2,,,,
20190618_sample_2,14.09,4.56,-27.72,7.86,-2.21,-2.35
20190618_sample_4,6.8,3.36,-29.16,4.36,-4.5,-3.41
20190618_sample_5,17.89,13.67,-28.93,4.98,-5.2,-3.09
20190618_sample_7,-16.92,-1.49,-6.69,15.27,-7.98,27.78
20190618_sample_8,-10.83,36.71,-12.04,15.8,-12.64,21.38
20190619_sample_1,6.49,-19.89,,,,
20190619_sample_3,-42.13,-8.09,-14.5,-2.4,-19.89,-0.18
20190619_sample_4,-19.54,2.66,-13.59,-1.75,-17.92,-1.61
20190619_sample_5,-43.12,-8.19,-12.67,-1.94,-19.93,0.06
20190619_sample_6,3.93,-16.36,-12.57,3.04,-13.85,-0.4
20190620_sample_1,0.04,-15.83,-7.88,16.97,-9.21,27.51
20190620_sample_2,-16.02,9.98,-35.74,7.47,-14.82,-10.49
20190620_sample_5,-7.41,11.66,-35.24,13.08,-12.38,-12.07
20190620_sample_6,17.39,21.92,,,,
20190620_sample_8,-36.72,-6.9,-36.87,14.47,-16.43,-16.51
20190624_sample_1,-32.65,5.32,,,,
20190624_sample_2,1.92,18.64,-32.89,4.89,-2.79,-6.16
20190624_sample_3,-14.76,20.05,-31.77,-6.84,-17.78,8.18
20190624_sample_4,-26.9,8.95,-36.96,13.15,-16.23,-15.15
20190624_sample_5,-20.3,7.93,,,,
20190624_sample_6,-2.65,12.81,-17.12,-13.87,-23.78,10.62
20190625_sample_1,16.78,12.5,,,,
20190625_sample_2,7.48,31.62,,,,
20190625_sample_3,2.87,1.39,,,,
20190625_sample_4,12.98,30.43,-13.28,6.05,-8.78,9.1
20190625_sample_5,9.78,4.6,-22.9,8.07,-0.61,0.08
20190625_sample_6,-2.76,-19.18,-6.7,16.47,-9.24,29.27
20190625_sample_7,4.65,35.51,,,,
20190625_sample_8,17.69,16.16,,,,
20190625_sample_10,-2.67,23.13,,,,
20190625_sample_11,6.68,-3.66,,,,
20190625_sample_12,17.82,17.01,,,,
20190625_sample_13,46.53,-6.58,,,,
20190626_sample_1,13.4,2.3,-30.21,3.83,-3.94,-4.57
20190626_sample_4,10.41,22.31,,,,
20190626_sample_5,8.96,34.31,,,,
20190627_sample_1,17.07,-25.29,18.5,8.23,15.77,0.24
20190627_sample_2,11.66,-15.49,-27.54,3.15,-11.48,-1.83
20190627_sample_4,16.54,8.15,25.26,10.63,21.34,2.29
20190627_sample_6,-39.11,-0.25,,,,
20190627_sample_8,40.93,-8.18,35.51,-1.51,29.41,-2.2
20190628_sample_1,-15.35,4.87,-35.31,11.04,-14.67,-12.0
20190628_sample_2,-51.38,-9.59,-32.43,-0.26,-25.35,-8.83
20190628_sample_3,-15.83,30.48,,,,
20190628_sample_4,-11.72,3.96,-36.84,11.44,-14.01,-13.66
20190628_sample_5,0.8,33.87,,,,
20190628_sample_6,-32.82,-7.93,-37.83,11.6,-16.55,-14.07
20190628_sample_7,-18.89,30.19,,,,
20190703_sample_1,-49.2,-4.13,-34.21,8.84,-20.26,-12.55
20190703_sample_2,-38.72,0.37,-39.0,15.07,-17.95,-17.62
20190703_sample_3,-44.12,-19.24,-33.97,10.57,-24.36,-1.31
20190703_sample_5,-46.77,-3.81,-27.02,-0.16,-31.42,-10.95
20190703_sample_6,-39.94,-2.04,,,,
20190703_sample_8,-44.28,-9.53,-36.27,13.62,-17.95,-15.51
20190703_sample_10,-34.92,-18.33,-28.46,1.46,-28.87,-10.16
20190703_sample_12,-34.43,10.46,-36.18,15.43,-17.21,-16.02
20190703_sample_13,6.61,-16.4,-34.62,12.63,-13.18,-8.18
20190703_sample_14,6.13,-4.27,,,,
20190703_sample_15,-4.74,-6.4,-36.51,9.66,-17.66,-11.38
20190704_sample_2,-11.52,13.52,,,,
20190704_sample_12,12.83,4.93,-25.51,6.8,-2.14,-1.21
20190704_sample_14,8.72,2.49,-21.91,6.0,-0.14,-1.33
20190705_sample_1,12.75,3.22,,,,
20190705_sample_3,9.56,1.55,,,,
20190705_sample_4,11.46,0.25,,,,
20190705_sample_5,15.42,6.07,,,,
20190705_sample_9,8.61,21.09,,,,
20190708_sample_3,-37.26,-11.83,,,,
20190708_sample_4,-40.92,-2.68,-35.63,15.5,-17.97,-16.77
20190708_sample_6,15.48,27.1,-37.64,17.1,-7.14,-13.07
20190708_sample_7,16.9,28.22,,,,
20190708_sample_8,23.59,-15.67,,,,
20190708_sample_12,10.75,9.23,-26.45,6.95,-4.63,-0.81
20190709_sample_1,18.34,17.65,-25.87,7.3,-4.13,-1.67
20190709_sample_2,11.89,4.51,-23.51,6.07,-1.34,-1.05
20190709_sample_3,19.07,17.24,-37.16,16.33,-7.96,-13.31
20190709_sample_8,-5.26,40.97,,,,
20190709_sample_10,7.51,0.26,,,,
20190709_sample_11,14.07,-2.77,,,,
20190709_sample_12,19.26,20.88,,,,
20190709_sample_13,10.21,3.13,,,,
20190709_sample_14,11.05,22.55,,,,
20190710_sample_3,-14.8,21.02,,,,
20190710_sample_4,-14.61,6.81,,,,
20190710_sample_5,-21.93,10.86,,,,
20190710_sample_6,3.88,5.8,-34.68,5.18,-16.15,-8.35
20190710_sample_8,-30.03,-4.53,,,,
20190710_sample_10,10.87,30.05,,,,
20190712_sample_1,25.86,-4.71,18.14,-6.61,11.65,-12.7
20190712_sample_3,-18.87,9.7,,,,
20190712_sample_4,-18.68,8.77,,,,
20190712_sample_5,11.86,-16.59,-25.21,2.29,-11.86,-1.39
20190712_sample_6,2.32,-16.45,-28.73,10.21,-13.27,-2.15
20190712_sample_7,0.68,-14.62,,,,
20190715_sample_1,19.15,-25.88,-12.54,3.22,-12.59,-0.47
20190715_sample_4,-0.02,-18.33,-10.44,0.23,-12.81,1.05
20190715_sample_5,9.32,3.47,,,,
20190715_sample_6,5.96,-20.99,,,,
20190715_sample_7,7.04,7.92,-6.7,-8.74,-0.36,9.18
20190715_sample_8,-0.85,-15.95,,,,
20190715_sample_9,11.26,9.65,,,,
20190715_sample_10,7.55,14.2,-23.58,5.48,-9.04,4.88
20190715_sample_11,-2.0,-14.7,-10.99,-10.15,-13.73,1.39
20190716_sample_1,-30.58,-1.43,,,,
20190716_sample_3,7.59,17.98,,,,
20190716_sample_5,-32.96,7.39,,,,
20190716_sample_7,12.97,3.6,,,,
20190716_sample_8,3.79,-13.65,,,,
20190716_sample_9,12.33,5.28,-23.85,6.4,-1.53,-1.09
20190717_sample_1,-8.78,20.44,,,,
20190717_sample_2,-17.3,3.69,,,,
20190717_sample_3,-17.37,32.09,,,,
20190718_sample_1,14.15,3.89,,,,
20190718_sample_2,14.01,25.85,17.84,-10.31,10.63,-15.76
20190718_sample_3,28.81,0.3,16.04,-9.89,10.48,-14.37
20190718_sample_4,19.07,20.26,,,,
20190718_sample_5,17.49,18.79,-26.91,5.68,-5.15,-2.06
20190718_sample_6,15.33,20.54,,,,
20190718_sample_7,19.31,12.66,,,,
20190718_sample_8,15.22,12.38,-4.7,-6.45,0.16,11.27
20190718_sample_9,11.57,25.16,-36.23,16.26,-8.48,-13.35
20190719_sample_1,18.39,-4.02,18.35,-3.97,13.59,-8.56
20190719_sample_2,39.81,-0.55,35.08,-0.83,30.95,-1.89
20190719_sample_4,42.44,-5.1,,,,
20190719_sample_5,40.78,-4.71,35.26,0.95,30.43,0.1
20190719_sample_6,18.01,-17.77,25.05,6.68,21.68,7.24
20190719_sample_9,41.62,-4.47,34.18,-8.01,26.72,-7.95
20190719_sample_10,19.91,-16.7,32.64,5.82,24.55,4.42
20190722_sample_1,27.2,-18.14,17.99,-7.32,13.96,-13.34
20190722_sample_6,19.48,-21.26,16.89,-9.61,14.39,-14.92
20190722_sample_7,19.88,-12.51,,,,
20190722_sample_8,27.74,-17.03,,,,
20190724_sample_1,11.39,13.03,,,,
20190724_sample_2,16.83,-3.39,17.69,-6.06,14.98,-9.91
20190724_sample_4,8.73,5.22,,,,
20190724_sample_5,5.51,33.89,,,,
20190724_sample_6,9.66,3.86,,,,
20190724_sample_9,8.93,10.66,,,,
20190724_sample_10,7.96,3.67,,,,
20190724_sample_12,10.52,6.86,,,,
20190724_sample_16,18.41,-1.28,,,,
20190725_sample_1,12.22,30.27,,,,
20190725_sample_3,23.13,13.97,,,,
20190725_sample_4,-19.18,19.5,,,,
20190725_sample_5,3.7,30.93,17.07,-10.53,10.95,-15.9
20190725_sample_6,10.61,6.42,-26.9,6.32,-4.14,-0.66
20190725_sample_7,21.23,13.71,,,,
20190725_sample_8,21.92,15.03,,,,
20190725_sample_9,15.25,16.7,,,,
20190725_sample_10,7.86,7.69,,,,
20190726_sample_1,5.44,-19.11,,,,
20190726_sample_2,-44.04,7.24,,,,
20190726_sample_3,5.05,-18.75,,,,
20190726_sample_4,37.55,-0.22,34.51,0.9,31.64,-1.16
20190726_sample_5,0.37,-13.32,,,,
20190726_sample_6,2.49,28.17,,,,
20190726_sample_7,-3.17,-16.37,,,,
20190729_sample_2,0.86,17.9,-28.21,5.07,-3.36,-5.62
20190729_sample_3,-4.0,14.88,-14.8,-14.78,-23.03,9.82
20190729_sample_5,-34.18,4.52,-37.47,13.76,-15.97,-15.79
20190730_sample_1,-13.07,34.95,,,,
20190730_sample_2,10.67,5.28,,,,
20190730_sample_5,11.35,23.89,,,,
20190730_sample_6,13.91,29.49,,,,
20190730_sample_7,12.04,7.1,-39.24,12.1,-10.25,-14.47
20190730_sample_9,-5.45,-10.28,-35.6,15.91,-15.46,-17.28
20190731_sample_1,-42.37,-8.84,-26.26,-10.99,-28.87,-1.6
20190731_sample_2,-4.44,24.6,,,,
20190731_sample_3,-8.77,6.59,,,,
20190731_sample_4,12.23,9.44,,,,
20190731_sample_5,-49.61,-12.55,-17.97,-16.45,-33.9,3.09
20190731_sample_6,5.51,-17.57,,,,
20190731_sample_8,-49.61,-12.55,,,,
20190801_sample_1,40.04,-4.7,35.8,2.79,30.35,0.85
20190801_sample_2,3.59,5.4,,,,
20190801_sample_3,-15.58,8.32,,,,
20190801_sample_4,-13.08,36.59,,,,
20190801_sample_7,-21.09,-2.03,,,,
20190801_sample_8,-2.35,32.78,,,,
20190820_sample_1,-6.96,22.58,,,,
20190820_sample_2,18.78,-5.57,17.43,-1.58,14.75,-7.59
20190820_sample_3,-27.03,-15.64,-28.74,2.73,-22.09,-4.15
20190820_sample_5,12.2,31.95,,,,
20190820_sample_6,22.26,-9.67,19.33,-0.37,13.74,-6.07
20190821_sample_1,44.79,-4.82,,,,
20190821_sample_2,39.05,-1.01,34.59,1.02,31.5,-1.01
20190821_sample_3,22.26,-1.13,17.36,-4.83,14.76,-9.04
20190821_sample_4,24.87,5.85,,,,
20190821_sample_5,44.76,-4.5,21.27,4.62,20.28,-4.38
20190821_sample_6,52.34,-11.08,,,,
20190821_sample_7,25.06,5.12,,,,
20190823_sample_1,51.73,-10.32,35.28,-2.4,27.82,-3.55
20190823_sample_3,-34.65,6.84,,,,
20190823_sample_5,21.09,-7.84,,,,
20190823_sample_6,43.35,-1.09,26.28,11.81,22.39,1.15
20190823_sample_7,40.31,-0.75,,,,
20190827_sample_1,-32.27,8.74,-32.86,-1.51,-24.22,-5.84
20190827_sample_2,52.34,-9.69,,,,
20190827_sample_3,6.83,14.89,,,,
20190827_sample_4,3.56,34.8,-29.8,-9.47,-18.91,15.89
20190827_sample_5,52.72,-9.94,,,,
20190827_sample_6,-17.69,5.01,,,,
20190827_sample_7,-8.69,7.36,-35.02,13.29,-12.24,-12.11
20190827_sample_8,-12.24,8.57,,,,
20190827_sample_9,-14.09,6.7,,,,
20190828_sample_1,14.42,10.0,,,,
20190828_sample_3,11.35,2.7,,,,
20190828_sample_4,5.92,-0.58,,,,
20190828_sample_5,5.11,-1.55,-29.02,7.75,-2.36,-3.63
20190828_sample_6,8.31,0.42,,,,
20190828_sample_7,4.04,27.62,-5.56,-6.27,-2.32,11.71
20190829_sample_1,5.75,-20.72,,,,
20190829_sample_2,7.68,-1.12,,,,
20190829_sample_3,47.14,-7.22,,,,
20190829_sample_4,5.14,-18.4,,,,
20190829_sample_6,7.68,-1.12,-33.43,14.92,-9.97,-11.42
20190829_sample_9,-45.28,-3.03,,,,
20190830_sample_1,44.96,-1.86,,,,
20190830_sample_2,27.23,-16.63,23.84,9.84,19.33,-0.49
20190830_sample_3,47.81,-8.69,,,,
20190830_sample_4,13.66,-18.54,,,,
20190830_sample_6,41.54,-5.22,36.91,-3.67,28.5,-5.11
20190830_sample_8,22.8,8.69,,,,
20190830_sample_9,-2.3,32.29,31.72,9.03,25.39,6.26
20190904_sample_1,8.52,4.73,,,,
20190904_sample_2,4.77,-1.89,,,,
20190904_sample_3,14.94,27.88,-9.15,14.99,-7.3,20.67
20190904_sample_4,7.82,6.64,,,,
20190904_sample_5,-24.49,8.93,-27.28,7.74,-5.51,-0.37
20190904_sample_7,2.15,1.33,-38.14,15.7,-13.34,-16.77
20190905_sample_1,-16.0,23.1,,,,
20190905_sample_3,-2.48,16.49,,,,
20190906_sample_1,7.51,-18.56,-24.24,0.87,-11.17,-0.31
20190906_sample_5,17.95,-7.71,20.72,9.26,14.79,3.55
20190906_sample_6,1.18,-13.95,-28.92,10.35,-13.35,-2.11
20190910_sample_1,-0.68,6.0,-8.79,16.03,-9.65,25.47
20190910_sample_2,18.67,13.71,-9.22,2.26,-2.52,5.13
20190910_sample_3,5.25,5.74,,,,
20190910_sample_4,15.63,15.17,,,,
20190910_sample_6,8.84,16.78,-38.39,13.9,-12.39,-14.77
20190911_sample_3,-1.32,31.79,,,,
20190911_sample_4,50.78,-5.11,,,,
20190911_sample_6,52.57,-3.43,,,,
20190911_sample_7,28.79,0.24,,,,
20190911_sample_9,11.4,-12.32,22.4,9.35,16.06,4.61
20190912_sample_1,12.3,-12.0,27.54,8.76,19.75,6.09
20190912_sample_2,26.03,-5.06,19.62,-5.44,11.66,-12.97
20190912_sample_3,15.76,-10.92,,,,
20190912_sample_4,3.79,4.17,,,,
20190912_sample_6,20.11,-5.59,33.05,8.6,23.0,4.8
20190912_sample_8,15.38,-12.99,27.04,8.26,20.4,6.59
20190912_sample_10,-12.01,-2.06,-27.78,4.84,-5.44,-6.4
20190917_sample_1,19.07,-11.64,,,,
20190917_sample_2,0.17,-17.12,-24.97,2.11,-11.06,-0.59
20190917_sample_3,22.67,-7.98,36.27,-2.71,30.07,-4.62
20190919_sample_1,14.45,-10.48,,,,
20190919_sample_4,3.04,-5.76,,,,
20190919_sample_5,20.72,-18.35,18.0,-5.53,13.39,-11.32
20190924_sample_1,-16.2,10.38,,,,
20190924_sample_2,-10.13,12.62,-34.61,-6.89,-16.03,10.49
20190924_sample_3,35.4,-32.42,,,,
20190924_sample_4,-4.93,31.04,,,,
20190924_sample_5,1.08,38.32,,,,
20190924_sample_6,-21.29,9.14,,,,
20190924_sample_7,-25.97,7.62,-36.63,12.32,-15.67,-14.56
20190924_sample_8,21.71,-17.1,17.66,-8.84,13.45,-13.48
20190925_sample_2,-49.29,-11.12,-20.98,-0.91,-36.32,-10.9
20190925_sample_3,-5.74,3.48,-28.61,-11.22,-20.61,7.79
20190925_sample_4,27.21,-6.1,,,,
20190925_sample_5,-7.37,1.76,-16.01,2.06,-22.5,2.0
20190925_sample_6,-54.26,-8.92,-28.07,-2.32,-27.92,-8.1
20190925_sample_7,-5.11,29.52,,,,
20190926_sample_2,51.24,-14.93,36.88,13.14,37.8,7.68
20190926_sample_3,-11.55,33.23,,,,
20190926_sample_4,39.29,4.15,36.51,15.64,29.0,13.73
20190926_sample_5,-52.8,-8.79,-31.0,-0.96,-25.94,-8.36
20190926_sample_6,0.74,37.22,,,,
20190927_sample_1,35.97,-22.5,33.29,-10.08,30.99,-13.11
20190927_sample_2,18.61,-1.54,22.11,7.18,13.77,1.88
20190927_sample_3,-34.97,-26.55,-22.26,-13.04,-30.65,0.43
20190927_sample_4,22.89,-3.71,20.2,-1.59,17.26,-6.67
20190927_sample_5,-52.18,-4.28,-31.21,6.16,-27.13,-11.91
20190927_sample_6,7.38,10.64,,,,
20190927_sample_7,21.69,-0.68,28.72,9.07,19.97,4.59
20191001_sample_1,-1.57,16.63,,,,
20191001_sample_2,55.13,-3.51,,,,
20191001_sample_3,-20.64,24.41,-30.88,2.68,-19.44,-6.04
20191001_sample_4,-23.69,1.27,-36.6,13.07,-16.97,-14.89
20191001_sample_5,-22.25,5.9,-33.39,3.69,-19.59,-6.48
20191001_sample_6,-15.5,17.58,,,,
20191003_sample_2,-1.04,13.76,,,,
20191003_sample_3,1.5,34.85,-28.85,-9.88,-18.89,15.5
20191003_sample_4,-8.65,7.96,-16.3,-13.21,-22.41,9.16
20191003_sample_5,-8.43,6.38,,,,
20191003_sample_6,24.02,-6.92,16.66,-10.73,12.38,-14.44
20191010_sample_1,50.92,-5.79,33.9,8.62,34.34,6.65
20191010_sample_2,-32.62,-17.13,-31.06,-6.97,-25.79,-7.25
20191010_sample_3,41.81,-1.92,35.45,-2.17,29.62,-2.84
20191010_sample_4,-49.23,6.28,,,,
20191010_sample_6,-37.61,-21.52,-33.16,0.78,-25.46,-12.52
20191010_sample_7,41.43,8.46,39.14,3.28,31.21,11.67
20191028_sample_1,10.81,-13.31,,,,
20191028_sample_2,-1.94,10.18,-33.37,12.62,-12.19,-8.96
20191028_sample_3,-54.9,-8.75,-32.85,1.85,-24.48,-10.56
20191028_sample_4,-6.68,26.92,,,,
20191028_sample_5,-9.65,12.04,,,,
20191030_sample_2,5.56,7.11,,,,
20191030_sample_3,54.27,-9.83,39.88,5.6,35.77,6.51
20191030_sample_4,19.88,-0.79,,,,
20191030_sample_5,-10.5,34.99,,,,
20191101_sample_1,-4.02,-17.34,-5.78,15.69,-8.14,29.53
20191101_sample_2,22.79,-8.95,,,,
20191101_sample_3,8.26,17.46,,,,
20191101_sample_4,25.29,-6.93,19.04,-9.25,15.42,-14.0
20191101_sample_5,21.97,-10.36,,,,
20191101_sample_6,18.41,-3.79,,,,
20191104_sample_1,-20.0,30.84,-9.71,16.02,-11.25,22.83
20191104_sample_2,-7.2,8.57,,,,
20191104_sample_3,3.28,-5.78,,,,
20191104_sample_4,-36.27,-7.91,-25.69,-1.45,-31.42,-10.28
20191105_sample_1,-41.64,-21.92,-23.6,-5.88,-33.6,-4.98
20191105_sample_2,23.47,7.84,36.94,-1.88,29.0,-4.67
20191105_sample_3,-6.07,29.9,,,,
20191105_sample_4,-32.72,2.32,-31.29,3.76,-19.98,-8.43
20191105_sample_5,-16.66,32.45,,,,
20191106_sample_2,4.98,-15.32,,,,
20191106_sample_3,46.02,-7.78,19.48,2.01,21.68,-4.83
20191106_sample_5,0.35,-9.37,-7.97,14.58,-7.81,25.83
20191107_sample_1,32.65,-2.84,,,,
20191107_sample_2,-11.79,4.95,-30.23,-5.4,-16.52,7.15
20191107_sample_3,-2.19,25.25,-18.91,-16.39,-25.1,12.03
20191107_sample_4,-2.55,14.25,-16.22,-13.13,-22.49,9.42
20191108_sample_1,13.05,-4.94,16.36,3.59,11.56,-2.86
20191108_sample_4,25.36,-10.3,17.14,-7.16,15.6,-11.72
20191108_sample_5,30.47,-14.71,34.23,11.79,28.15,9.13
20191114_sample_1,-9.97,36.98,-11.49,15.93,-12.72,21.19
20191114_sample_2,19.49,-3.38,17.59,-8.18,13.21,-12.23
20191114_sample_3,52.6,-13.07,33.83,-17.08,27.36,-18.19
20191114_sample_4,-8.45,8.66,-32.16,-12.7,-22.14,13.42
20191114_sample_5,52.31,-12.1,,,,
20191114_sample_7,32.95,-32.63,34.77,4.73,22.89,12.37
20191114_sample_8,51.48,-12.72,,,,
20191114_sample_9,31.29,-32.6,37.74,13.3,23.59,14.46
20200106_sample_1,4.66,-13.33,,,,
20200106_sample_4,50.97,-11.31,33.47,-16.28,27.5,-17.21
20200106_sample_5,26.06,-30.51,,,,
20200106_sample_6,36.95,-31.75,,,,
20200225_sample_2,28.65,-6.87,33.24,7.54,26.61,5.67
20200225_sample_5,-0.29,10.93,-15.52,3.8,-10.53,5.47
20200316_sample_1,35.45,-30.97,39.03,13.16,24.39,14.17
20200316_sample_2,33.21,-29.64,,,,
20200316_sample_3,-45.64,8.48,,,,
