,Ephys t-SNE x,Ephys t-SNE y,Morph t-SNE x,Moprh t-SNE y,Morphoelectric t-SNE x,Morphoelectric t-SNE y
20180411_sample_1,39.76,-16.7,35.44,-15.59,26.69,-16.15
20180411_sample_3,30.05,-3.79,,,,
20180411_sample_4,-46.35,-0.63,-13.94,-14.15,-31.17,5.64
20180411_sample_5,-57.58,-3.23,-14.3,-13.35,-31.46,2.7
20180412_sample_1,31.13,-23.03,,,,
20180412_sample_2,-43.17,10.65,,,,
20180412_sample_3,4.43,-8.79,,,,
20180412_sample_4,40.23,-25.98,33.39,-14.47,30.34,-17.07
20180412_sample_7,34.71,-21.05,35.05,3.71,26.26,3.56
20180413_sample_2,-32.34,-11.58,,,,
20180413_sample_3,-23.22,-0.65,,,,
20180413_sample_4,36.79,-31.15,32.34,-10.85,33.58,-14.67
20180417_sample_1,20.52,10.98,-11.03,-0.27,-5.28,5.64
20180417_sample_2,-43.07,-19.61,,,,
20180417_sample_3,22.86,-25.22,35.21,-16.52,27.33,-15.08
20180417_sample_4,-38.46,-20.51,,,,
20180417_sample_5,30.34,-24.53,,,,
20180417_sample_6,24.06,-25.8,,,,
20180417_sample_7,-45.8,7.33,,,,
20180417_sample_8,-16.01,18.92,,,,
20180417_sample_9,23.8,-25.63,,,,
20180418_sample_1,-32.79,-17.35,,,,
20180418_sample_2,-45.69,-5.9,,,,
20180418_sample_3,-44.02,-7.2,,,,
20180418_sample_5,41.32,0.31,,,,
20180418_sample_6,42.41,-17.54,,,,
20180420_sample_2,33.78,-22.07,,,,
20180420_sample_3,34.25,-27.13,,,,
20180420_sample_4,35.9,-11.3,,,,
20180424_sample_1,33.4,-23.31,,,,
20180424_sample_2,39.65,-22.53,34.59,-19.14,31.51,-19.35
20180424_sample_3,,,35.01,-16.1,,
20180424_sample_6,43.07,-26.51,,,,
20180425_sample_2,50.27,-13.17,35.37,-11.75,29.33,-17.99
20180425_sample_3,-22.86,-3.99,,,,
20180425_sample_4,38.06,-27.14,,,,
20180425_sample_5,11.6,17.7,,,,
20180425_sample_7,-54.3,-8.16,,,,
20180425_sample_8,12.64,15.47,,,,
20180425_sample_9,35.83,-28.19,32.59,-17.71,32.96,-16.74
20180426_sample_1,36.42,-22.51,,,,
20180426_sample_3,39.7,-17.13,36.63,-12.27,26.09,-15.95
20180426_sample_4,30.68,-25.63,,,,
20180426_sample_5,-33.12,-7.65,,,,
20180426_sample_7,30.84,-6.82,33.88,6.97,27.22,5.52
20180426_sample_9,-52.67,-10.22,,,,
20180501_sample_2,42.94,-19.58,33.73,-12.43,29.13,-14.77
20180501_sample_3,20.28,-14.43,,,,
20180501_sample_4,32.49,-23.33,32.23,-14.79,29.73,-13.79
20180501_sample_5,39.32,-26.74,34.06,-9.82,32.11,-12.98
20180501_sample_6,49.48,-9.35,,,,
20180501_sample_7,-34.95,-24.68,,,,
20180501_sample_8,-2.45,-17.29,,,,
20180502_sample_1,-53.12,-11.03,,,,
20180502_sample_2,27.76,-23.01,,,,
20180502_sample_3,28.84,-6.92,35.35,5.43,27.57,4.99
20180502_sample_4,32.66,-26.86,,,,
20180508_sample_1,-45.89,4.44,,,,
20180508_sample_2,46.83,-8.47,,,,
20180508_sample_3,38.2,-33.0,34.31,-15.99,32.01,-18.32
20180508_sample_4,38.96,-24.56,,,,
20180509_sample_1,43.33,-18.09,,,,
20180509_sample_2,36.75,-18.46,,,,
